Source_Row_Index,Paper_ID,DOI,ML_Condition_ID,Observation_ID,Study_Series_ID,Material_Parent_ID,Leakage_Group_Strict,Effective_Group_ID,Alloy_Family_Audit_Key,Data_Origin,Observation_Role,Independent_Experimental_ML_sample,Effective_TRIP,Effective_TWIP,T2_ANY_TWIP,T2_FCC_TWIP_STRICT,T1_TRIP_STRICT_DIRECT,T2_ANY_TWIP_STRICT_DIRECT,TRIP_Evidence_Quality_Flag,TWIP_Evidence_Quality_Flag,TWIP_Phase,TWIP_Phase_Category,Target_Status,Label_confidence,Target_Evidence_Confidence,M2_Composition_Source,M2_Composition_Selection_Note,M2_Fe_at%,M2_Mn_at%,M2_Co_at%,M2_Cr_at%,M2_Test_T_K,M2_Strain_rate_s-1,M2_Missing_Required_Fields,M2_Complete
216,P021,10.1016/j.jallcom.2021.162765,P021_MC_A1000_20M_RT_G41,P021_OBS_A1000_20M_RT_G41,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_SERIES01,P021_SERIES01,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,1.0,1.0,,,,AUTHOR_ATTRIBUTED_OR_MEDIUM,AUTHOR_ATTRIBUTED_OR_MEDIUM,UNRESOLVED_PHASE_DIRECT_MECHANICAL_TWIN_TEXT,PHASE_UNRESOLVED,VERIFIED_JOINT,High_TRIP_Medium_TWIP,High_TRIP_Medium_TWIP,NOMINAL,Selected explicitly reported nominal composition,50.0,17.5,10.0,12.5,298.0,0.001,,True
217,P021,10.1016/j.jallcom.2021.162765,P021_MC_A1000_150M_RT_G150,P021_OBS_A1000_150M_RT_G150,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_SERIES01,P021_SERIES01,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,50.0,17.5,10.0,12.5,298.0,0.001,,True
218,P021,10.1016/j.jallcom.2021.162765,P021_MC_A1000_20M_77K_G41,P021_OBS_A1000_20M_77K_G41,P021_SERIES01,P021_MAT_FE50MN17p5CR12p5CO10NI5SI5,P021_SERIES01,P021_SERIES01,FORMULA::FE50MN17.5CR12.5CO10NI5SI5,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,,,,1,,DIRECT_HIGH_CONFIDENCE,NA,,NA,TRIP_VERIFIED_TWIP_UNRESOLVED,High_TRIP_High_for_TWIP_NA,High_TRIP_High_for_TWIP_NA,NOMINAL,Selected explicitly reported nominal composition,50.0,17.5,10.0,12.5,77.0,0.001,,True
219,P022,10.1007/s10853-019-04064-9,P022_MC_C0_ASCAST_RT,P022_OBS_C0_ASCAST_RT,P022_SERIES01,P022_MAT_C0,P022_SERIES01,P022_SERIES01,FORMULA::FE50MN30CO10CR10,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,,,,,,AUTHOR_ATTRIBUTED_OR_MEDIUM,NA,,NA,TRIP_AUTHOR_ATTRIBUTED_TWIP_UNRESOLVED,MEDIUM,MEDIUM,UNAVAILABLE_POLICY_REJECTED,P022 raw atomic-ratio formula is not normalized,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
220,P022,10.1007/s10853-019-04064-9,P022_MC_C2_ASCAST_RT,P022_OBS_C2_ASCAST_RT,P022_SERIES01,P022_MAT_C2,P022_SERIES01,P022_SERIES01,FORMULA::FE50MN30CO10CR10C2,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,1.0,1.0,1,,1,NA,DIRECT_HIGH_CONFIDENCE,,FCC,TWIP_VERIFIED_TRIP_UNRESOLVED,HIGH,HIGH,UNAVAILABLE_POLICY_REJECTED,P022 raw atomic-ratio formula is not normalized,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
221,P022,10.1007/s10853-019-04064-9,P022_MC_C4_ASCAST_RT,P022_OBS_C4_ASCAST_RT,P022_SERIES01,P022_MAT_C4,P022_SERIES01,P022_SERIES01,FORMULA::FE50MN30CO10CR10C4,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,HIGH_FOR_NA_DECISION,HIGH_FOR_NA_DECISION,UNAVAILABLE_POLICY_REJECTED,P022 raw atomic-ratio formula is not normalized,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
222,P022,10.1007/s10853-019-04064-9,P022_MC_C2MO1_ASCAST_RT,P022_OBS_C2MO1_ASCAST_RT,P022_SERIES01,P022_MAT_C2MO1,P022_SERIES01,P022_SERIES01,FORMULA::FE50MN30CO10CR10C2MO1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,1.0,1.0,1,,1,NA,DIRECT_HIGH_CONFIDENCE,,FCC,TWIP_VERIFIED_TRIP_UNRESOLVED,HIGH,HIGH,UNAVAILABLE_POLICY_REJECTED,P022 raw atomic-ratio formula is not normalized,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
223,P022,10.1007/s10853-019-04064-9,P022_MC_C2MO2_ASCAST_RT,P022_OBS_C2MO2_ASCAST_RT,P022_SERIES01,P022_MAT_C2MO2,P022_SERIES01,P022_SERIES01,FORMULA::FE50MN30CO10CR10C2MO2,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,1.0,1.0,1,,1,NA,DIRECT_HIGH_CONFIDENCE,,FCC,TWIP_VERIFIED_TRIP_UNRESOLVED,HIGH,HIGH,UNAVAILABLE_POLICY_REJECTED,P022 raw atomic-ratio formula is not normalized,,,,,,,Fe_at%|Mn_at%|Co_at%|Cr_at%|Test_T_K|Strain_rate_s-1,False
227,P023,10.1016/j.apmt.2018.09.002,P023_MC_DPASS_RT,P023_OBS_DPASS_RT,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,39.0,20.0,20.0,15.0,,0.001,Test_T_K,False
228,P023,10.1016/j.apmt.2018.09.002,P023_MC_650_5_RT,P023_OBS_650_5_RT,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,39.0,20.0,20.0,15.0,,0.001,Test_T_K,False
229,P023,10.1016/j.apmt.2018.09.002,P023_MC_650_15_RT,P023_OBS_650_15_RT,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,HCP_EPSILON,HCP_EPSILON,VERIFIED_JOINT,High,High,NOMINAL,Selected explicitly reported nominal composition,39.0,20.0,20.0,15.0,,0.001,Test_T_K,False
230,P023,10.1016/j.apmt.2018.09.002,P023_MC_650_30_RT,P023_OBS_650_30_RT,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,39.0,20.0,20.0,15.0,,0.001,Test_T_K,False
231,P023,10.1016/j.apmt.2018.09.002,P023_MC_850_5_RT,P023_OBS_850_5_RT,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,39.0,20.0,20.0,15.0,,0.001,Test_T_K,False
232,P023,10.1016/j.apmt.2018.09.002,P023_MC_850_15_RT,P023_OBS_850_15_RT,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,,,,,,,NA,NA,,NA,TARGETS_UNRESOLVED,High_for_NA_decision,High_for_NA_decision,NOMINAL,Selected explicitly reported nominal composition,39.0,20.0,20.0,15.0,,0.001,Test_T_K,False
233,P023,10.1016/j.apmt.2018.09.002,P023_MC_850_30_RT,P023_OBS_850_30_RT,P023_SERIES01,P023_MAT_FE39MN20CO20CR15SI5AL1,P023_SERIES01,P023_SERIES01,FORMULA::FE39MN20CO20CR15SI5AL1,EXPERIMENTAL,INDEPENDENT_CONDITION,True,1.0,1.0,1.0,,1,1,DIRECT_HIGH_CONFIDENCE,DIRECT_HIGH_CONFIDENCE,HCP_EPSILON,HCP_EPSILON,VERIFIED_JOINT,High,High,NOMINAL,Selected explicitly reported nominal composition,39.0,20.0,20.0,15.0,,0.001,Test_T_K,False
