Paper_ID,ML_Condition_ID,Observation_ID,Feature_Name,Original_Value,Recovered_Value,Units,Evidence_Type,Evidence_Location,Page,Figure,Table,Section,Extraction_Method,Confidence,Reviewer_Status,Reviewer_Notes
P003,P003_MC06,OBS019,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC06,OBS019,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC06,OBS019,condition-to-test-series linkage,Parent_Experiment_ID=P003_PE06,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,grain size,Grain_size_um=4.5,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,SFE,SFE_mJ_m2=19.5,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,SFE method,SFE_method=reported/estimated; dynamic includes +13 mJ/m2 adiabatic increase,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,initial FCC fraction,Initial_FCC_fraction=0.63,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,initial HCP fraction,Initial_HCP_fraction=0.37,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,strain rate,Strain_rate_s-1=1000.0,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,test temperature,Test_T_K=300.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,processing history,Processing_route=Vacuum cast in Ar; hot-forged 1200C; hot-rolled 900C 50%; solution 1200C/2h; cold-rolled 60%; annealed 900C/3min salt bath; air cooled | Cast_method=Vacuum melting | Homogenization_T_K=1473.0 | Homogenization_time_h=2.0 | Hot_rolling_T_K=1173.0 | Hot_rolling_reduction_pct=50.0 | Cold_rolling_reduction_pct=60.0 | Annealing_T_K=1173.0 | Annealing_time_min=3.0 | Cooling_route=air cooling,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,mechanical properties,YS_MPa=380.0 | UTS_MPa=810.0 | Uniform_elongation_pct=67.0,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,TRIP evidence,Evidence_TRIP=EBSD/TEM show deformation-induced martensite and reverse transformation depending on strain rate,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,TWIP evidence,Evidence_TWIP=TEM identifies deformation twins; dynamic loading makes twinning dominant at later strain,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,phase-transformation evidence,"HCP_fraction_at_condition=0.18 | HCP_lath_or_lamella_note=At 50% cross-section reduction: HCP fraction 47%, 24%, 18% for 10^-3, 1, 10^3 s^-1 respectively | Characterization_methods=Tensile; DSC; dilatometry; SEM/EBSD; TEM",,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P003,P003_MC07,OBS020,condition-to-test-series linkage,Parent_Experiment_ID=P003_PE07,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,grain size,Grain_size_um=690.0,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,SFE,,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,SFE method,,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,test temperature,Test_T_K=673.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,processing history,Processing_route=Vacuum induction melting from 99.99% feedstock; two VAR cycles; as-cast; preheated 400C/10min before tensile | Cast_method=VIM + 2x VAR | Cooling_route=water quench immediately after deformation,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,TWIP evidence,Evidence_TWIP=XRD phase fraction + EBSD phase maps track FCC/HCP evolution,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,phase-transformation evidence,HCP_fraction_at_condition=0.22 | HCP_lath_or_lamella_note=HCP increased to ~22% by end of Stage I | Characterization_methods=EBSD IPF/boundary/KAM maps; Σ3 twin boundaries and twin-twin interactions,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS021,condition-to-test-series linkage,Parent_Experiment_ID=P004_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,grain size,Grain_size_um=690.0,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,SFE,,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,SFE method,,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,test temperature,Test_T_K=673.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,processing history,Processing_route=Vacuum induction melting from 99.99% feedstock; two VAR cycles; as-cast; preheated 400C/10min before tensile | Cast_method=VIM + 2x VAR | Cooling_route=water quench immediately after deformation,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,TWIP evidence,Evidence_TWIP=XRD phase fraction + EBSD phase maps track FCC/HCP evolution,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,phase-transformation evidence,HCP_fraction_at_condition=0.37 | HCP_lath_or_lamella_note=HCP rises to ~37% by completion of Stage II | Characterization_methods=EBSD IPF/boundary/KAM maps; Σ3 twin boundaries and twin-twin interactions,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS022,condition-to-test-series linkage,Parent_Experiment_ID=P004_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,grain size,Grain_size_um=690.0,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,SFE,,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,SFE method,,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,test temperature,Test_T_K=673.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,processing history,Processing_route=Vacuum induction melting from 99.99% feedstock; two VAR cycles; as-cast; preheated 400C/10min before tensile | Cast_method=VIM + 2x VAR | Cooling_route=water quench immediately after deformation,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,TWIP evidence,Evidence_TWIP=XRD phase fraction + EBSD phase maps track FCC/HCP evolution,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,phase-transformation evidence,HCP_lath_or_lamella_note=moderate HCP reduction; twinning confirmed by Σ3 boundaries | Characterization_methods=EBSD IPF/boundary/KAM maps; Σ3 twin boundaries and twin-twin interactions,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS023,condition-to-test-series linkage,Parent_Experiment_ID=P004_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,grain size,Grain_size_um=690.0,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,SFE,,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,SFE method,,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,test temperature,Test_T_K=673.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,processing history,Processing_route=Vacuum induction melting from 99.99% feedstock; two VAR cycles; as-cast; preheated 400C/10min before tensile | Cast_method=VIM + 2x VAR | Cooling_route=water quench immediately after deformation,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,TWIP evidence,Evidence_TWIP=XRD phase fraction + EBSD phase maps track FCC/HCP evolution,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,phase-transformation evidence,HCP_lath_or_lamella_note=second WHR peak despite continued decrease in HCP fraction | Characterization_methods=EBSD IPF/boundary/KAM maps; Σ3 twin boundaries and twin-twin interactions,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS024,condition-to-test-series linkage,Parent_Experiment_ID=P004_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,grain size,Grain_size_um=690.0,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,SFE,,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,SFE method,,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,test temperature,Test_T_K=673.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,processing history,Processing_route=Vacuum induction melting from 99.99% feedstock; two VAR cycles; as-cast; preheated 400C/10min before tensile | Cast_method=VIM + 2x VAR | Cooling_route=water quench immediately after deformation,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,TWIP evidence,Evidence_TWIP=XRD phase fraction + EBSD phase maps track FCC/HCP evolution,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,phase-transformation evidence,HCP_lath_or_lamella_note=EBSD phase map at ε~0.30 | Characterization_methods=EBSD IPF/boundary/KAM maps; Σ3 twin boundaries and twin-twin interactions,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS025,condition-to-test-series linkage,Parent_Experiment_ID=P004_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,grain size,Grain_size_um=690.0,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,SFE,,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,SFE method,,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,strain rate,Strain_rate_s-1=0.001,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,test temperature,Test_T_K=673.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,processing history,Processing_route=Vacuum induction melting from 99.99% feedstock; two VAR cycles; as-cast; preheated 400C/10min before tensile | Cast_method=VIM + 2x VAR | Cooling_route=water quench immediately after deformation,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,TWIP evidence,Evidence_TWIP=XRD phase fraction + EBSD phase maps track FCC/HCP evolution,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,phase-transformation evidence,HCP_lath_or_lamella_note=final strain level; exact strain not specified in extraction | Characterization_methods=EBSD IPF/boundary/KAM maps; Σ3 twin boundaries and twin-twin interactions,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P004,P004_MC01,OBS026,condition-to-test-series linkage,Parent_Experiment_ID=P004_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,grain size,Grain_size_um=3.5,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,SFE,SFE_mJ_m2=24.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,SFE method,SFE_method=TEM/WBDF partial-dislocation separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,strain rate,,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,processing history,Processing_route=Vacuum induction melting; hot rolled 1273K to 5 mm; cold rolled to 1 mm (>80% total deformation); annealed 1073K/1h | Cast_method=Vacuum induction melting | Hot_rolling_T_K=1273.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1073.0 | Annealing_time_min=60.0,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,TWIP evidence,Evidence_TWIP=Atomic-resolution HAADF-STEM identifies HCP lamellae from ε≈0.1,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,phase-transformation evidence,HCP_lath_or_lamella_note=HCP/twins not yet observed | Characterization_methods=TEM/SAED and HAADF-STEM identify three-layer twin embryos and numerous twins by ε≈0.2,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS027,condition-to-test-series linkage,Parent_Experiment_ID=P005_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,grain size,Grain_size_um=3.5,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,SFE,SFE_mJ_m2=24.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,SFE method,SFE_method=TEM/WBDF partial-dislocation separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,strain rate,,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,processing history,Processing_route=Vacuum induction melting; hot rolled 1273K to 5 mm; cold rolled to 1 mm (>80% total deformation); annealed 1073K/1h | Cast_method=Vacuum induction melting | Hot_rolling_T_K=1273.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1073.0 | Annealing_time_min=60.0,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,TWIP evidence,Evidence_TWIP=Atomic-resolution HAADF-STEM identifies HCP lamellae from ε≈0.1,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,phase-transformation evidence,HCP_lath_or_lamella_note=HCP laths account for ~10% of planar defects including twins and HCP phase | Characterization_methods=TEM/SAED and HAADF-STEM identify three-layer twin embryos and numerous twins by ε≈0.2,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS028,condition-to-test-series linkage,Parent_Experiment_ID=P005_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,grain size,Grain_size_um=3.5,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,SFE,SFE_mJ_m2=24.0,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,SFE method,SFE_method=TEM/WBDF partial-dislocation separation,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,DeltaG / transformation driving force,,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,strain rate,,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,processing history,Processing_route=Vacuum induction melting; hot rolled 1273K to 5 mm; cold rolled to 1 mm (>80% total deformation); annealed 1073K/1h | Cast_method=Vacuum induction melting | Hot_rolling_T_K=1273.0 | Cold_rolling_reduction_pct=80.0 | Annealing_T_K=1073.0 | Annealing_time_min=60.0,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,mechanical properties,,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,TRIP evidence,,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,TWIP evidence,Evidence_TWIP=Atomic-resolution HAADF-STEM identifies HCP lamellae from ε≈0.1,,text/evidence,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,phase-transformation evidence,HCP_lath_or_lamella_note=average twin thickness ~5.4 ± 3 nm | Characterization_methods=TEM/SAED and HAADF-STEM identify three-layer twin embryos and numerous twins by ε≈0.2,,mixed; preserve each reported unit,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,specimen identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,replicate identity,,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P005,P005_MC01,OBS029,condition-to-test-series linkage,Parent_Experiment_ID=P005_PE01,,identifier/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,grain size,,,as reported (currently µm field),,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,SFE,,,as reported (currently mJ m^-2 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,SFE method,,,method/text,,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,initial FCC fraction,Initial_FCC_fraction=1.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,initial HCP fraction,Initial_HCP_fraction=0.0,,as reported,,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,DeltaG / transformation driving force,DeltaG_FCC_HCP_J_mol=87.0,,as reported (currently J mol^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,strain rate,Strain_rate_s-1=0.00015,,as reported (currently s^-1 field),,,,,,,,,PENDING_SOURCE_REVIEW,
P006,P006_MC01,OBS030,test temperature,Test_T_K=298.0,,as reported (currently K field),,,,,,,,,PENDING_SOURCE_REVIEW,
